"","X","dateAdded","dateUpdated","name","reviews.date","reviews.dateSeen","reviews.doRecommend","reviews.numHelpful","reviews.rating","reviews.text","reviews.title","reviews.username","alexa","echo","exp_fun","exp_helpful","exp_educational","exp_information","exp_communicate","exp_travel","exp_entertain","exp_daily","exp_home","exp_morning","emo_love","emo_happy","emo_enjoy","emo_satisfied","emo_excited","mat_userfriendly","mat_feature","mat_battery","mat_warranty","mat_setup","mat_durable","aes_pretty","aes_beautiful","sum_exp","sum_exp_bin","sum_emo","sum_emo_bin","sum_mat","sum_mat_bin","sum_aes","sum_aes_bin","date"
"11",11,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-09-11T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-04-04T00:00:00Z,2017-08-02T00:00:00Z,2017-03-21T00:00:00Z,2017-08-31T00:00:00Z",TRUE,3,5,"If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.","Good price excellent reader","jjhippo",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2016
"12",12,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-04-22T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-06-04T00:00:00Z,2017-05-01T00:00:00Z,2017-05-09T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Love my kindle, makes reading at night so easy and it feels like you are reading a real book.","feels like a real book","Sean242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"13",13,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-02-20T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-03-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Good product for child. Who only need to read the books","Great readers","Jackie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"14",14,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-06T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"This Kindle is a convenient size yet lettering is easy to read.","Just what my grandson wanted","grandma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"15",15,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-02-23T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-03-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.","Great for reading on the go","BeeRocker",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2017
"16",16,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-02-25T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-03-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,3,"It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright","Does its job","Chillypr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"17",17,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-11-19T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"Great product for myself! And I bought it when there was great deal on it!","Great!","John",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"18",18,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-12-24T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"Item work well and was easy to read from in day light","Work","Bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"19",19,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-10-07T00:00:00.000Z","2017-10-10T00:00:00Z",TRUE,0,5,"Great product and service will refer to a friend. And the sales man r good","Great product and service","richard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"20",20,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-11-16T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,4,"Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!","External pdf does not work properly","Superuser37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"21",21,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-12-02T00:00:00.000Z","2018-05-27T00:00:00Z",FALSE,1,1,"I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.","Tricked into buying","Keith",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2017
"22",22,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-03-22T15:18:54.000Z","2018-10-09T00:00:00Z",TRUE,4,4,"This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.","Easy to use, bare-bones reading device","Nibbler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2017
"23",23,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-02-13T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device","Great e-reader for beginners","st2005",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
"24",24,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-09-17T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-06-04T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-04-04T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"The Amazon Kindle is light weight and easy to use.","Good Deal for the Price","Robe12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"25",25,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-01-29T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome","Great","kdla",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
"26",26,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-02-17T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Love the simplicity. Also love that I use it for reading only and can't download distracting apps.","Easy and simple","Kathy",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
"27",27,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-05-01T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.","Compact and light","Debbie",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
"28",28,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-03-15T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.","Great product at great price.","Tupiman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"29",29,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-10-01T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-03-21T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.","Great reading tool","drd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"30",30,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-09-01T00:00:00.000Z","2018-05-27T00:00:00Z,2017-09-06T00:00:00Z,2017-09-12T00:00:00Z",TRUE,2,4,"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.","Great reader but not perfect","MrPhilTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2017
"31",31,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-08-26T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,4,"My fiancée really enjoyes it! I would definitely recommend.","Great product","Jeff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
"32",32,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-12-09T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z,2017-03-31T00:00:00Z",TRUE,0,4,"Simple, great buy for your money if you are an avid reader.","Great Product","flexorcist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"33",33,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2016-10-08T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-03-21T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"I like the changes that have been made since my current 4 year old unit was purchased","good design","mother",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"34",34,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-05T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"Fits nicely in your hand and its touchable. increase the size of the fonts","kindle touch","dk22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"35",35,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-03-16T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.","Great","JimA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"36",36,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-11-15T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,4,"I lie the size and weight for the kindle-makes it very convenient to take large books with me in digital format.","Useful and practical","yespicklejuiceisgood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"37",37,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-05-19T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-08-09T00:00:00Z,2017-06-01T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Great price and works great for book reading. Would recommend","Great for book reader","AB79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"38",38,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-28T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.","This is my new baby","Vincent",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
"39",39,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-20T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"I never used kindle before. My wife gifted me on my birthday. This is the amazing product. I am using it for daily reading. The display is fantastic and no strain on eyes.","Great ebook reader","Khan",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2018
"40",40,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-01-01T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"I bought this with paper white and didn’t see much of a difference in terms of resolution and use. I totally recommend this reader as it’s so small and powerful!","Excellent","Faithfy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"41",41,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-10-07T00:00:00.000Z","2017-10-10T00:00:00Z",TRUE,0,5,"The sales people are really nice and knowledgeable to me I will come back again","Great product","richard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"42",42,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-01-30T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!","A Terrific and Highly Appreciated Gift","Ed51648",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
"43",43,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-03-16T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,5,"Overall good product, does what is advertised, comfortable to use.","Good Product","TinLexington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"44",44,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2018-02-21T00:00:00.000Z","2018-05-27T00:00:00Z",TRUE,0,5,"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.","Love this little e-reader","DustinS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"45",45,"2017-03-03T16:56:05Z","2018-10-25T16:36:31Z","Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)","2017-01-11T00:00:00.000Z","2018-05-27T00:00:00Z,2017-07-07T00:00:00Z,2017-04-26T00:00:00Z,2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-08-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-31T00:00:00Z",TRUE,0,4,"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare.","Loving it!","Juj14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2017
